JDTDB,CalendarDate(TDB),X,Y,Z
2398396.500000000, A.D. 1854-Jun-27 00:00:00.0000,  3.875152862446102E+01,  2.997576465571251E+01, -2.320457479307418E+00
2398496.500000000, A.D. 1854-Oct-05 00:00:00.0000,  3.864454556842518E+01,  3.014108522295466E+01, -2.236497012274033E+00
2398596.500000000, A.D. 1855-Jan-13 00:00:00.0000,  3.853656029904986E+01,  3.030574871161578E+01, -2.152431528493425E+00
2398696.500000000, A.D. 1855-Apr-23 00:00:00.0000,  3.842750421792563E+01,  3.046969392501343E+01, -2.068257846296290E+00
2398796.500000000, A.D. 1855-Aug-01 00:00:00.0000,  3.831741128076473E+01,  3.063292619011619E+01, -1.984051200839659E+00
2398896.500000000, A.D. 1855-Nov-09 00:00:00.0000,  3.820628258814261E+01,  3.079547277681981E+01, -1.899743715963658E+00
2398996.500000000, A.D. 1856-Feb-17 00:00:00.0000,  3.809405550191862E+01,  3.095724074596570E+01, -1.815361687666430E+00
2399096.500000000, A.D. 1856-May-27 00:00:00.0000,  3.798078600032228E+01,  3.111825376480043E+01, -1.730967527852008E+00
2399196.500000000, A.D. 1856-Sep-04 00:00:00.0000,  3.786647132136279E+01,  3.127851359372630E+01, -1.646494827852127E+00
2399296.500000000, A.D. 1856-Dec-13 00:00:00.0000,  3.775106523116866E+01,  3.143794856349523E+01, -1.561976747757881E+00
2399396.500000000, A.D. 1857-Mar-23 00:00:00.0000,  3.763461469387000E+01,  3.159656715135069E+01, -1.477474068431595E+00
2399496.500000000, A.D. 1857-Jul-01 00:00:00.0000,  3.751714924593921E+01,  3.175436383538861E+01, -1.392918073339787E+00
2399596.500000000, A.D. 1857-Oct-09 00:00:00.0000,  3.739861562957182E+01,  3.191128388822293E+01, -1.308348587719347E+00
2399696.500000000, A.D. 1858-Jan-17 00:00:00.0000,  3.727908484005167E+01,  3.206733726769377E+01, -1.223817621162558E+00
2399796.500000000, A.D. 1858-Apr-27 00:00:00.0000,  3.715856891586346E+01,  3.222251852482674E+01, -1.139251068851679E+00
2399896.500000000, A.D. 1858-Aug-05 00:00:00.0000,  3.703704757455626E+01,  3.237676890803353E+01, -1.054706216882111E+00
2399996.500000000, A.D. 1858-Nov-13 00:00:00.0000,  3.691459227877188E+01,  3.253014076924229E+01, -9.702044148813095E-01
2400096.500000000, A.D. 1859-Feb-21 00:00:00.0000,  3.679119117006368E+01,  3.268259843983392E+01, -8.856833472329141E-01
2400196.500000000, A.D. 1859-Jun-01 00:00:00.0000,  3.666685651856697E+01,  3.283410717948740E+01, -8.012040475331412E-01
2400296.500000000, A.D. 1859-Sep-09 00:00:00.0000,  3.654164834627074E+01,  3.298472530629672E+01, -7.167706987908423E-01
2400396.500000000, A.D. 1859-Dec-18 00:00:00.0000,  3.641555733412651E+01,  3.313442535272832E+01, -6.323204566109153E-01
2400496.500000000, A.D. 1860-Mar-27 00:00:00.0000,  3.628857604540074E+01,  3.328317898054507E+01, -5.479218123892970E-01
2400596.500000000, A.D. 1860-Jul-05 00:00:00.0000,  3.616079213346961E+01,  3.343104147343166E+01, -4.635669406383919E-01
2400696.500000000, A.D. 1860-Oct-13 00:00:00.0000,  3.603216674428671E+01,  3.357800568551595E+01, -3.791874082965602E-01
2400796.500000000, A.D. 1861-Jan-21 00:00:00.0000,  3.590269734365603E+01,  3.372403615287289E+01, -2.948652582323024E-01
2400896.500000000, A.D. 1861-May-01 00:00:00.0000,  3.577246433272021E+01,  3.386920088364165E+01, -2.105712952662957E-01
2400996.500000000, A.D. 1861-Aug-09 00:00:00.0000,  3.564142212423511E+01,  3.401347055393074E+01, -1.262539700059082E-01
2401096.500000000, A.D. 1861-Nov-17 00:00:00.0000,  3.550958221635172E+01,  3.415684882898515E+01, -4.198588296847452E-02
2401196.500000000, A.D. 1862-Feb-25 00:00:00.0000,  3.537698676480078E+01,  3.429938277179193E+01,  4.226943853167203E-02
2401296.500000000, A.D. 1862-Jun-05 00:00:00.0000,  3.524361116901040E+01,  3.444103749033083E+01,  1.265500804526083E-01
2401396.500000000, A.D. 1862-Sep-13 00:00:00.0000,  3.510945485483594E+01,  3.458183672879338E+01,  2.107894764295523E-01
2401496.500000000, A.D. 1862-Dec-22 00:00:00.0000,  3.497455925553534E+01,  3.472181852289237E+01,  2.950334420848723E-01
2401596.500000000, A.D. 1863-Apr-01 00:00:00.0000,  3.483887200213929E+01,  3.486094592192676E+01,  3.793086241923563E-01
2401696.500000000, A.D. 1863-Jul-10 00:00:00.0000,  3.470242162312942E+01,  3.499923262941990E+01,  4.635418476376968E-01
2401796.500000000, A.D. 1863-Oct-18 00:00:00.0000,  3.456523316006000E+01,  3.513674058682773E+01,  5.478033985689452E-01
2401896.500000000, A.D. 1864-Jan-26 00:00:00.0000,  3.442723288500022E+01,  3.527340602882578E+01,  6.320947914761453E-01
2401996.500000000, A.D. 1864-May-05 00:00:00.0000,  3.428847085330048E+01,  3.540925955069367E+01,  7.163514395897518E-01
2402096.500000000, A.D. 1864-Aug-13 00:00:00.0000,  3.414894884481691E+01,  3.554434393213726E+01,  8.006481631444833E-01
2402196.500000000, A.D. 1864-Nov-21 00:00:00.0000,  3.400860618077111E+01,  3.567860662942418E+01,  8.849754270143786E-01
2402296.500000000, A.D. 1865-Mar-01 00:00:00.0000,  3.386746636550868E+01,  3.581207652941679E+01,  9.692740571994504E-01
2402396.500000000, A.D. 1865-Jun-09 00:00:00.0000,  3.372554898426387E+01,  3.594477027347173E+01,  1.053615743787538E+00
2402496.500000000, A.D. 1865-Sep-17 00:00:00.0000,  3.358278118368460E+01,  3.607665530002558E+01,  1.137985763131013E+00
2402596.500000000, A.D. 1865-Dec-26 00:00:00.0000,  3.343919174577384E+01,  3.620774963791710E+01,  1.222326663906912E+00
2402696.500000000, A.D. 1866-Apr-05 00:00:00.0000,  3.329478028543040E+01,  3.633806549602917E+01,  1.306715990530459E+00
2402796.500000000, A.D. 1866-Jul-14 00:00:00.0000,  3.314948475897785E+01,  3.646754612646874E+01,  1.391113256962755E+00
2402896.500000000, A.D. 1866-Oct-22 00:00:00.0000,  3.300334893417752E+01,  3.659623839956121E+01,  1.475482959771546E+00
2402996.500000000, A.D. 1867-Jan-30 00:00:00.0000,  3.285633333371229E+01,  3.672412055606482E+01,  1.559893144509682E+00
2403096.500000000, A.D. 1867-May-10 00:00:00.0000,  3.270841227658184E+01,  3.685113253632124E+01,  1.644285938862596E+00
2403196.500000000, A.D. 1867-Aug-18 00:00:00.0000,  3.255962169516950E+01,  3.697732506537999E+01,  1.728640907908463E+00
2403296.500000000, A.D. 1867-Nov-26 00:00:00.0000,  3.240993072889781E+01,  3.710266137626174E+01,  1.813019377771265E+00
2403396.500000000, A.D. 1868-Mar-05 00:00:00.0000,  3.225930179253518E+01,  3.722708776239070E+01,  1.897354017048318E+00
2403496.500000000, A.D. 1868-Jun-13 00:00:00.0000,  3.210780043477649E+01,  3.735062959898633E+01,  1.981625792200548E+00
